year,quarter,spread
1960,1,0.4105895685539638
1960,2,1.0741655289340968
1960,3,1.3001124347476845
1960,4,1.4043690715209918
1961,1,1.2655545442377192
1961,2,1.3154039173693808
1961,3,1.496818185874266
1961,4,1.3337861062776004
1962,1,1.1118279569892473
1962,2,0.9147619047619044
1962,3,0.8993650793650798
1962,4,0.7863387978142069
1963,1,0.7321857923497266
1963,2,0.8144444444444443
1963,3,0.6176041666666672
1963,4,0.5100546448087431
1964,1,0.5526229508196718
1964,2,0.5983333333333336
1964,3,0.5553645833333332
1964,4,0.38404371584699426
1965,1,0.2432786885245899
1965,2,0.27603174603174585
1965,3,0.3350520833333337
1965,4,0.3480874316939886
1966,1,0.3099999999999996
1966,2,0.3119047619047617
1966,3,0.3532291666666669
1966,4,-0.0043333333333333
1967,1,0.14027322404371656
1967,2,1.10359375
1967,3,1.0119047619047619
1967,4,0.9433879781420771
1968,1,0.5764516129032256
1968,2,0.34532258064516164
1968,3,0.32802083333333343
1968,4,0.18833333333333435
1969,1,0.23781420765027228
1969,2,0.3293650793650791
1969,3,0.17857142857142883
1969,4,0.322076502732239
1970,1,0.5188333333333333
1970,2,1.0950256410256411
1970,3,1.160520833333333
1970,4,1.1510928961748617
1971,1,1.6185245901639354
1971,2,1.9085714285714284
1971,3,1.5028124999999992
1971,4,1.5631147540983612
1972,1,2.284603174603174
1972,2,2.200625
1972,3,1.8574603174603173
1972,4,1.2889999999999997
1973,1,0.8808064516129033
1973,2,0.1206349206349202
1973,3,-0.9660317460317449
1973,4,-0.6718333333333337
1974,1,-0.5815846994535523
1974,2,-0.08682539682539847
1974,3,0.27281250000000057
1974,4,0.2955737704918038
1975,1,1.533666666666666
1975,2,2.3499479166666664
1975,3,1.871249999999999
1975,4,2.2215300546448074
1976,1,2.549784946236559
1976,2,2.326984126984126
1976,3,2.15796875
1976,4,1.7727322404371586
1977,1,2.153650793650794
1977,2,1.9887301587301582
1977,3,1.4801587301587302
1977,4,1.2715000000000005
1978,1,1.4253551912568305
1978,2,1.7003174603174607
1978,3,1.1146031746031753
1978,4,0.27081967213114666
1979,1,-0.20075268817204162
1979,2,-0.2669892473118285
1979,3,-0.5622222222222231
1979,4,-1.1925136612021863
1980,1,-1.118655913978495
