DATE,CPI
1/1/1960,12.47800791
1/1/1961,12.61161295
1/1/1962,12.76279761
1/1/1963,12.9210141
1/1/1964,13.08626245
1/1/1965,13.29370186
1/1/1966,13.69451699
1/1/1967,14.07423659
1/1/1968,14.67545928
1/1/1969,15.47708955
1/1/1970,16.38068155
1/1/1971,17.083866
1/1/1972,17.64289763
1/1/1973,18.73283351
1/1/1974,20.80371169
1/1/1975,22.7058256
1/1/1976,24.01023274
1/1/1977,25.5713022
1/1/1978,27.52263902
1/1/1979,30.62016649
1/1/1980,34.76895469
1/1/1981,38.36222718
1/1/1982,40.71437914
1/1/1983,42.0223022
1/1/1984,43.82948621
1/1/1985,45.38352383
1/1/1986,46.24492477
1/1/1987,47.93959927
1/1/1988,49.89445202
1/1/1989,52.30285873
1/1/1990,55.12614426
1/1/1991,57.4607166
1/1/1992,59.20109809
1/1/1993,60.94851143
1/1/1994,62.53770827
1/1/1995,64.29215345
1/1/1996,66.17668775
1/1/1997,67.72369352
1/1/1998,68.77495426
1/1/1999,70.27976896
1/1/2000,72.65301645
1/1/2001,74.70631502
1/1/2002,75.8911808
1/1/2003,77.61398268
1/1/2004,79.69189271
1/1/2005,82.39563688
1/1/2006,85.05367407
1/1/2007,87.47997682
1/1/2008,90.83842087
1/1/2009,90.51544826
1/1/2010,91.99994093
1/1/2011,94.90423331
1/1/2012,96.86812198
1/1/2013,98.28707786
1/1/2014,99.88151342
1/1/2015,100
1/1/2016,101.2615832
1/1/2017,103.4185663
1/1/2018,105.9446509
1/1/2019,107.8645906
1/1/2020,109.1951913
1/1/2021,114.3250273
1/1/2022,123.4742304
1/1/2023,128.5568475
