	(1)	(2)	(3)	(4)	(5)
VARIABLES	lnw	lnw	lnw	lnw	lnw
					
s	0.071	0.074	0.071	0.075	0.105
	(0.000)	(0.028)	(0.000)	(0.028)	(0.020)
31.yob			-0.006	-0.007	-0.011
			(0.005)	(0.006)	(0.006)
32.yob			-0.015	-0.016	-0.021
			(0.005)	(0.007)	(0.006)
33.yob			-0.018	-0.019	-0.026
			(0.005)	(0.008)	(0.007)
34.yob			-0.021	-0.022	-0.030
			(0.005)	(0.009)	(0.007)
35.yob			-0.033	-0.034	-0.044
			(0.005)	(0.011)	(0.008)
36.yob			-0.032	-0.033	-0.045
			(0.005)	(0.012)	(0.009)
37.yob			-0.037	-0.039	-0.052
			(0.005)	(0.014)	(0.010)
38.yob			-0.037	-0.039	-0.055
			(0.005)	(0.016)	(0.012)
39.yob			-0.048	-0.051	-0.068
			(0.005)	(0.017)	(0.013)
Constant	4.995	4.955	5.017	4.966	4.592
	(0.005)	(0.358)	(0.006)	(0.354)	(0.251)
					
Observations	329,509	329,509	329,509	329,509	329,509
R-squared	0.117	0.117	0.118	0.117	0.091
F-stat		48.09		46.87	32.27
Robust standard errors in parentheses					
