# u	v
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	2
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	3
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	4
1	5
1	5
1	6
1	6
1	6
1	6
1	6
1	6
1	7
1	7
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	8
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	9
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	10
1	11
1	11
1	11
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	12
1	13
1	13
1	13
1	13
1	13
1	13
1	13
1	14
1	14
1	14
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	15
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	16
1	17
1	17
1	17
1	17
1	17
1	18
1	18
1	19
1	19
1	19
1	19
1	19
1	19
1	19
1	19
1	19
1	19
1	20
1	20
1	21
1	22
1	22
1	22
1	22
1	23
1	23
1	23
1	23
1	23
1	23
1	23
1	23
1	23
1	23
1	24
1	24
1	24
1	24
1	24
1	24
1	25
1	25
1	25
1	25
1	26
1	26
1	26
1	26
1	26
1	26
1	26
1	26
1	26
1	27
1	28
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	29
1	30
1	30
1	30
1	30
1	30
1	30
1	31
1	31
1	31
1	33
1	34
1	34
1	35
1	35
1	35
1	35
1	35
1	35
1	36
1	37
1	37
1	37
1	37
1	38
1	38
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	39
1	41
1	41
1	42
1	42
1	42
1	42
1	43
1	43
1	43
1	43
1	45
1	45
1	47
1	47
1	47
1	48
1	48
1	48
1	48
1	48
1	48
1	49
1	49
1	50
1	50
1	50
1	51
1	53
1	53
1	53
1	54
1	54
1	55
1	60
1	60
1	60
1	60
1	61
1	62
1	62
1	63
1	63
1	63
1	63
1	63
1	65
1	68
1	68
1	68
1	68
1	69
1	70
1	71
1	71
1	73
1	73
1	73
1	74
1	77
1	78
1	78
1	79
1	79
1	79
1	79
1	82
1	82
1	82
1	82
1	83
1	85
1	87
1	90
1	92
1	92
1	92
1	92
1	93
1	94
1	94
