	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
legal	10.99	10.80	8.47	12.41	9.65	7.59	6.64	7.50	6.46	0.59	0.47	1.49	1.26	1.33	0.08	1.89	1.28
	(0.55)	(4.59)	(5.10)	(4.60)	(4.64)	(2.50)	(2.66)	(2.27)	(2.24)	(0.59)	(0.79)	(0.88)	(0.89)	(1.59)	(1.93)	(1.78)	(1.45)
_Istate_2		107.89	-3,473.59	107.60	-3,272.49	-2.00	-5,169.00	-0.94	-5,037.71	26.40	306.94	26.57	539.46	-7.61	-1,308.69	-7.53	-1,435.75
		(1.18)	(591.15)	(1.14)	(528.20)	(0.64)	(308.02)	(0.56)	(256.88)	(0.15)	(92.19)	(0.20)	(96.96)	(0.41)	(224.17)	(0.43)	(166.69)
_Istate_4		37.80	4,725.25	36.08	5,258.92	20.82	1,602.09	20.22	1,875.28	11.45	689.11	11.12	651.15	0.41	-256.19	0.34	-215.84
		(0.67)	(249.31)	(0.72)	(254.50)	(0.37)	(129.90)	(0.36)	(123.05)	(0.09)	(38.88)	(0.11)	(42.00)	(0.23)	(94.54)	(0.24)	(80.46)
_Istate_5		6.03	2,188.08	6.25	1,876.35	4.73	313.12	4.50	157.47	2.76	-49.62	3.12	-209.76	-2.88	320.53	-2.66	204.34
		(1.86)	(696.65)	(1.94)	(623.78)	(1.01)	(362.99)	(0.96)	(301.29)	(0.24)	(108.64)	(0.38)	(118.37)	(0.64)	(264.17)	(0.76)	(193.60)
_Istate_6		-0.74	-2,104.48	0.31	-2,321.40	-3.89	-2,314.61	-3.56	-2,285.49	7.07	1,723.81	7.16	1,545.10	-5.32	-1,275.87	-4.84	-1,405.51
		(1.86)	(696.65)	(1.94)	(627.39)	(1.01)	(362.99)	(0.96)	(302.75)	(0.24)	(108.64)	(0.38)	(119.26)	(0.64)	(264.17)	(0.76)	(195.57)
_Istate_8		-12.38	-2,584.92	-13.01	-2,842.27	-9.45	-3,174.85	-8.98	-3,189.90	7.52	553.35	6.87	413.07	-3.72	-917.51	-3.94	-1,118.79
