	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
VARIABLES	all	all	all	all	mva	mva	mva	mva	suicide	suicide	suicide	suicide	homicide	homicide	homicide	homicide	ext_oth	ext_oth	ext_oth	ext_oth	internal	internal	internal	internal	alcohol	alcohol	alcohol	alcohol
																												
age	-0.97	-0.83	-3.26	9.40	-3.15	-2.93	-3.47	0.68	-0.18	0.14	-0.01	1.48	0.22	1.32	0.22	4.44	0.53	-0.86	0.01	0.05	1.60	1.50	-0.01	2.75	0.00	-0.42	-0.33	0.36
	(0.66)	(2.85)	(1.92)	(7.00)	(0.31)	(1.63)	(1.09)	(3.82)	(0.21)	(0.61)	(0.62)	(2.04)	(0.20)	(0.83)	(0.48)	(2.90)	(0.19)	(1.17)	(0.64)	(2.90)	(0.25)	(1.34)	(0.69)	(2.55)	(0.09)	(0.24)	(0.27)	(0.53)
age2		-0.84		11.16		-0.19		4.46		0.06		1.41		0.27		3.44		-0.92		-0.76		-0.06		2.62		-0.29		0.34
		(1.54)		(8.82)		(0.82)		(4.72)		(0.30)		(2.13)		(0.42)		(2.61)		(0.57)		(3.05)		(0.69)		(2.51)		(0.11)		(0.49)
over21	7.66	9.55	9.75	9.61	4.53	4.66	4.76	5.89	1.79	1.81	1.72	1.30	0.10	0.20	0.16	-0.45	0.84	1.80	1.41	1.63	0.39	1.07	1.69	1.25	0.44	0.80	0.74	1.03
	(1.51)	(1.83)	(2.06)	(2.29)	(0.72)	(1.09)	(1.08)	(1.33)	(0.50)	(0.78)	(0.73)	(1.14)	(0.45)	(0.50)	(0.59)	(0.93)	(0.42)	(0.56)	(0.59)	(0.75)	(0.54)	(0.80)	(0.74)	(1.01)	(0.21)	(0.32)	(0.33)	(0.41)
over_age		-6.02		-24.45		-0.82		-15.17		-0.70		-0.39		-2.49		-4.70		-0.13		-1.37		-1.87		-2.83		-0.23		-3.11
		(4.53)		(11.76)		(2.73)		(6.35)		(1.74)		(4.89)		(1.10)		(4.19)		(1.61)		(4.25)		(2.01)		(4.23)		(0.69)		(1.76)
over_age2		2.90		-0.87		0.20		6.97		0.03		-2.63		0.15		-3.79		1.48		1.30		1.05		-2.72		0.55		1.77
		(2.26)		(13.11)		(1.30)		(7.05)		(0.83)		(4.56)		(0.55)		(3.78)		(0.78)		(4.58)		(0.99)		(4.30)		(0.31)		(1.60)
Constant	91.84	93.07	91.71	94.34	29.36	29.81	29.59	30.19	11.45	11.70	11.64	11.92	16.86	17.60	17.10	18.07	14.08	13.90	13.89	14.16	20.09	20.07	19.49	20.00	1.04	0.99	0.91	1.14
	(0.71)	(0.78)	(0.97)	(0.85)	(0.34)	(0.49)	(0.54)	(0.56)	(0.24)	(0.29)	(0.35)	(0.33)	(0.25)	(0.38)	(0.34)	(0.67)	(0.22)	(0.40)	(0.32)	(0.51)	(0.27)	(0.49)	(0.38)	(0.61)	(0.09)	(0.11)	(0.14)	(0.12)
																												
Observations	48	48	24	24	48	48	24	24	48	48	24	24	48	48	24	24	48	48	24	24	48	48	24	24	48	48	24	24
R-squared	0.595	0.682	0.703	0.752	0.703	0.722	0.474	0.603	0.475	0.489	0.541	0.548	0.171	0.394	0.095	0.293	0.580	0.642	0.476	0.527	0.799	0.808	0.494	0.508	0.422	0.526	0.416	0.584
Robust standard errors in parentheses																												
