mpmyoutcomenext,mmyoutcomenext,mprunagain,mrunagain,mpofficeexp,mofficeexp,mpelectexp,melectexp,difgrp,difshare
.0051628,0,.1406145,.1538462,.0995114,.0512821,.2887656,.3333333,150,-.2474084
.0054228,.0185185,.1416555,.0925926,.1062786,.3148148,.2972264,.5185185,151,-.2436283
.0057195,0,.1428252,.2321429,.1137689,0,.3065422,.125,152,-.2369179
.0060213,0,.1439953,.1860465,.1211456,0,.3156699,.0697674,153,-.2331908
.0063755,0,.1453444,.255814,.129514,.0697674,.3259717,.2325581,154,-.2255954
.0067569,0,.1467688,.1632653,.1381978,0,.3366061,.2040816,155,-.2249876
.0071724,0,.1482879,.1111111,.1472951,.0222222,.347689,.1777778,156,-.2177286
.0076638,0,.1500431,.1086956,.1576062,.1086956,.3601835,.326087,157,-.2125493
.0081001,0,.151566,.1914894,.1663857,.0851064,.3707682,.2978723,158,-.2098773
.0086654,0,.1534938,.1081081,.1772959,.0540541,.3838584,.2702703,159,-.2017008
.0092504,.0540541,.1554371,.2702703,.188066,.2972973,.3967127,.5405405,160,-.1956761
.0098759,0,.1574621,.1875,.1990657,0,.4097764,.0416667,161,-.1934419
.0106061,.0178571,.1597635,.1607143,.2113067,.0178571,.4242425,.1071429,162,-.1850631
.0112941,.0178571,.1618747,.0892857,.2223028,.125,.4371745,.2678571,163,-.1811414
.0121487,0,.1644291,.1851852,.2353358,.0185185,.4524314,.2222222,164,-.1771785
.0130556,0,.167062,.2790698,.2484629,.2790698,.4677214,.627907,165,-.1707538
.0139234,0,.169516,.0666667,.2604439,.0888889,.4816141,.4222222,166,-.1697316
.0150249,0,.1725457,.0943396,.274906,.5283019,.4983061,.6981132,167,-.1632453
.0162817,.027027,.175899,.1351351,.2905184,.0540541,.5162351,.1621622,168,-.1595963
.0174538,0,.1789407,.1176471,.3043518,.4313726,.5320479,.9411765,169,-.1527211
.0187678,.0754717,.1822616,.2264151,.3191154,.3018868,.5488504,.490566,170,-.1464154
.020339,.0638298,.186123,.2765957,.3358615,.2553191,.5678204,.4468085,171,-.1436985
.0219532,.0344828,.1899822,.1724138,.3521809,.4310345,.5862215,.6896552,172,-.1387948
.023708,0,.1940695,.1666667,.369041,.5,.6051472,.7,173,-.1315988
.0256725,.0188679,.1985264,.1132075,.3869493,.2641509,.625157,.509434,174,-.1255823
.0278142,0,.2032639,.1794872,.4054888,.0769231,.6457776,.3333333,175,-.1215938
.0299688,.0338983,.2079217,.220339,.4232576,.6610169,.6654556,.8474576,176,-.1165396
.0324043,.0192308,.2130709,.1730769,.4423925,.5576923,.686554,.6923077,177,-.1143623
.0350554,.0677966,.2185587,.2372881,.4622453,.5423729,.7083478,.8983051,178,-.1066889
.0381045,.02,.224744,.2,.4840007,.28,.7321219,.64,179,-.1032734
.0412223,.0588235,.2309538,.1960784,.5052336,1.019608,.755221,1.333333,180,-.0987782
.0443876,.0350877,.2371627,.245614,.5259058,.4035088,.777616,.6666667,181,-.0939993
.0476984,.0238095,.2435723,.3095238,.5466879,.7857143,.8000376,.9761904,182,-.0886391
.0518499,.0526316,.2515156,.2894737,.5717168,.4210526,.8269222,.6315789,183,-.0811871
.0557765,.04,.2589621,.38,.594537,.68,.8513303,.94,184,-.0799299
.060147,.0612245,.2671993,.1836735,.61908,.6122449,.8774688,.9183673,185,-.0701374
.0648275,.1304348,.2759925,.3043478,.6445596,.2608696,.9044903,.4130435,186,-.0653208
