mpdemsharenext,mdemsharenext,mpdemwinnext,mdemwinnext,mpdemshareprev,mdemshareprev,mpdemwinprev,mdemwinprev,difgrp,difdemshare
.3657537,.3775378,.0847214,.15,.3814934,.4420248,.0509493,.1,150,-.2476834
.3674773,.3832872,.0859565,.0515873,.3833162,.3500139,.0530902,0,151,-.2438549
.3692168,.3843744,.0872461,.0424837,.3851675,.3852493,.0554099,.0496324,152,-.2373224
.3710485,.3385073,.0886556,.0760234,.3871304,.3387562,.0580459,.0526316,153,-.2341594
.3727831,.3738154,.0900388,.1052632,.3890013,.3733215,.0607271,.1052632,154,-.2283698
.3743541,.3526068,.0913367,.047619,.3907064,.3511722,.0633296,.0277778,155,-.2202546
.3760853,.371207,.0928183,.0454545,.392597,.4120217,.0663977,.0909091,156,-.2177286
.3779443,.3934362,.0944737,.125,.3946408,.4086604,.0699465,.0651042,157,-.2102773
.3791547,.381492,.0955905,.1266026,.3959794,.4145408,.0724125,.0849359,158,-.2058238
.3811315,.3474586,.0974799,.0545455,.398178,.4049698,.0767018,.16,159,-.2025734
.3825633,.3964286,.098903,.1111111,.3997802,.4104244,.0800282,.1648663,160,-.197311
.3842858,.3916169,.1006777,.0661111,.401718,.389422,.0842833,.0234375,161,-.190893
.3858661,.3579905,.1023724,.0909091,.4035062,.3920988,.088456,.0909091,162,-.1869255
.3874038,.3942768,.1040825,.1071429,.4052548,.41445,.0927622,.1986607,163,-.1849293
.3888571,.3918963,.1057555,0,.4069149,.4258349,.0970599,.1,164,-.1789
.3906081,.3680376,.1078497,.0416667,.4089245,.4082339,.1025507,.0833333,165,-.1737406
.3918517,.3814682,.1093911,.1166667,.4103576,.4180785,.1066639,.0953704,166,-.1671365
.3934774,.3715152,.1114759,.0625,.4122379,.4036392,.1123119,.0625,167,-.1626303
.3950019,.4228136,.1135061,.2244898,.4140077,.3823859,.1178958,.047619,168,-.1578728
.3965372,.4170752,.1156221,.1923077,.4157953,.4070091,.1237864,.0769231,169,-.1509314
.3979843,.4286179,.1176881,.1724138,.4174851,.4561917,.1295988,.137931,170,-.147531
.3996364,.3807228,.1201316,.09375,.4194187,.4201962,.1365332,.2083333,171,-.1428588
.401201,.3606958,.12253,.1086869,.4212536,.3956414,.1433866,.0427807,172,-.1387549
.4028412,.3969612,.1251337,.1,.4231802,.3837059,.1508599,.1333333,173,-.1343628
.4043375,.3911327,.1275938,.1,.4249397,.4086723,.1579368,.0333333,174,-.1296107
.406002,.3931835,.1304217,.14,.4268982,.3662012,.1660708,.1866667,175,-.1239072
.4074832,.4211907,.1330215,.1937255,.4286413,.4453478,.1735311,.2058824,176,-.1159028
.4090772,.4238706,.1359072,.1153846,.4305166,.4382927,.181774,.1153846,177,-.1134921
.410627,.4126965,.1388013,.0873016,.4323387,.4542588,.1899838,.1706349,178,-.1069904
.4124576,.4225546,.1423334,.24,.4344884,.4297811,.199902,.12,179,-.1033526
.4138574,.407019,.1451137,.0769231,.4361296,.4105188,.2076194,.1538462,180,-.0984427
.4155653,.392091,.148604,.0714286,.4381284,.4149852,.2171735,.1071429,181,-.091789
.417341,.4070044,.1523433,.0740741,.4402014,.4661418,.2272304,.287037,182,-.0857991
.4191339,.393856,.1562343,.1666667,.4422884,.4668674,.2374773,.308642,183,-.0827652
.4209086,.4149237,.1601964,.0833333,.4443477,.4489218,.2476748,.2777778,184,-.0767402
